id,name,host_id,host_name,neighbou_1,latitude,longitude,room_type,price,minimum_ni
"52900459","""New"" Cozy Condo in the ?of DWNTWN NASHVLLE","428275458",Lysa,District 19,36.153770000000002,-86.776399999999995,Entire home/apt,"163","1"
"52900600",SLEEPS 12 Keep the Secret EAST 1NASH 4BR* 4BA*,"193140179",Sharpe,District 5,36.190530000000003,-86.745480000000001,Entire home/apt,"464","2"
"52901588",Renovated 4 Bedroom Home 10 Mins to Downtown,"428283301",Alysha,District 26,36.075389999999999,-86.739320000000006,Entire home/apt,"248","1"
"52902738",? La Casa De Nashville ?,"136501281",Jenny,District 11,36.219279999999998,-86.627619999999993,Entire home/apt,"319","1"
"52903327",*SLEEPS 12* Keep the Secret *EAST 2NASH* 4BR* 4BA*,"193140179",Sharpe,District 6,36.188380000000002,-86.744150000000005,Entire home/apt,"336","2"
"52905447",Downtown Lux Living. Park Free in Music City!,"425069435",Shanda,District 19,36.154510000000002,-86.776259999999994,Entire home/apt,"215","1"
"52905775",*SLEEPS 24* Keep the Secret1  *2 Units * 8BR* 8BA*,"193140179",Sharpe,District 6,36.190060000000003,-86.744519999999994,Entire home/apt,"728","2"
"52914497",Charming studio in Hip East Nashville,"230551629",Brad,District 5,36.189560000000000,-86.768230000000003,Entire home/apt,"40","30"
"52915119",NEW! Updated Music City Retreat ~ 5 Mi to Downtown,"121235121",Evolve,District 20,36.157829999999997,-86.879149999999996,Entire home/apt,"237","2"
"52915126",NEW! Quiet West Nashville Escape w/ Modern Updates,"121235121",Evolve,District 20,36.160010000000000,-86.878659999999996,Entire home/apt,"233","2"
"52915689",Relaxing Dolly Apartment on Music Row,"60934272",Travers,District 19,36.144129999999997,-86.793750000000003,Entire home/apt,"127","1"
"52919151",Cozy 3Bd home ~ Only 7minutes to Broadway!,"428413353",Hoai,District 21,36.165990000000001,-86.809520000000006,Entire home/apt,"130","2"
"52920254",TWO PREMIUM HOMES!?26 BEDS?GAME ROOM?ROOFTOP DECK!,"115505661",Chris,District 18,36.131570000000004,-86.817120000000003,Entire home/apt,"747","2"
"52921814","Free Whiskey, Parking & Pool! 3 Blocks to Broadway","109162161",C &G,District 19,36.154420000000002,-86.776049999999998,Entire home/apt,"164","1"
"52930930",Nashville Greenhaus I & II ? Downtown ? 14 Qs & Ks,"1618127",Teddy,District 19,36.167180000000002,-86.797039999999996,Entire home/apt,"868","3"
"52935809","As seen on HGTV's ""Masters of Flip""","20534237",Frank,District 5,36.191809999999997,-86.769019999999998,Entire home/apt,"150","30"
"52936638",Nashville Travel home,"262961559",Sebastian,District 8,36.217730000000003,-86.742429999999999,Entire home/apt,"486","2"
"52940285",A10 - New Gulch Home-Tons of Beds-Rooftop Deck BBQ,"132613025",Tyler,District 17,36.144539999999999,-86.783630000000002,Entire home/apt,"270","3"
"52948723","Luxury 3 story, Rooftop close to Broadway 516AB","400747152",Nashville,District 2,36.197510000000001,-86.781400000000005,Entire home/apt,"285","1"
"52950088","Luxury 3 story, Rooftop close to Broadway 518AB","400747152",Nashville,District 2,36.197460000000000,-86.781520000000000,Entire home/apt,"285","1"
