STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"47","037","016800","47037016800","168",Census Tract 168,G5020,S,"1731407","0","+36.1350471","-086.8100173"
"47","037","019110","47037019110","191.10",Census Tract 191.10,G5020,S,"2607007","0","+36.0517959","-086.7048615"
"47","037","019105","47037019105","191.05",Census Tract 191.05,G5020,S,"2176555","0","+36.0513279","-086.7242603"
"47","037","019106","47037019106","191.06",Census Tract 191.06,G5020,S,"1852817","0","+36.0449466","-086.7359418"
"47","037","015502","47037015502","155.02",Census Tract 155.02,G5020,S,"5227801","0","+36.1523916","-086.6522733"
"47","037","017100","47037017100","171",Census Tract 171,G5020,S,"1675202","0","+36.1212814","-086.7805662"
"47","037","016900","47037016900","169",Census Tract 169,G5020,S,"2422963","0","+36.1247952","-086.8014922"
"47","037","013400","47037013400","134",Census Tract 134,G5020,S,"3620752","0","+36.1446942","-086.8426732"
"47","037","017000","47037017000","170",Census Tract 170,G5020,S,"1433623","0","+36.1286946","-086.7851325"
"47","037","011400","47037011400","114",Census Tract 114,G5020,S,"2651411","0","+36.1985212","-086.7337810"
"47","037","010702","47037010702","107.02",Census Tract 107.02,G5020,S,"2699620","86739","+36.2426141","-086.7159875"
"47","037","010801","47037010801","108.01",Census Tract 108.01,G5020,S,"5451875","16011","+36.2770642","-086.7247557"
"47","037","013300","47037013300","133",Census Tract 133,G5020,S,"2769694","0","+36.1597840","-086.8530495"
"47","037","018102","47037018102","181.02",Census Tract 181.02,G5020,S,"7388654","0","+36.1276381","-086.8678660"
"47","037","017902","47037017902","179.02",Census Tract 179.02,G5020,S,"4111686","0","+36.0961182","-086.8268546"
"47","037","015627","47037015627","156.27",Census Tract 156.27,G5020,S,"4605931","0","+36.0627545","-086.6647341"
"47","037","015623","47037015623","156.23",Census Tract 156.23,G5020,S,"5465889","0","+36.1851750","-086.6053662"
"47","037","980100","47037980100","9801",Census Tract 9801,G5020,S,"15585507","204571","+36.1286624","-086.6814917"
"47","037","019116","47037019116","191.16",Census Tract 191.16,G5020,S,"6136766","0","+36.0320180","-086.7277038"
"47","037","019115","47037019115","191.15",Census Tract 191.15,G5020,S,"5259513","0","+36.0133149","-086.7176016"
"47","037","010201","47037010201","102.01",Census Tract 102.01,G5020,S,"23718545","0","+36.2882537","-086.7728157"
"47","037","019600","47037019600","196",Census Tract 196,G5020,S,"12169556","330716","+36.1566570","-086.7298661"
"47","037","019300","47037019300","193",Census Tract 193,G5020,S,"3498932","493345","+36.1710458","-086.7683581"
"47","037","010103","47037010103","101.03",Census Tract 101.03,G5020,S,"48020412","61097","+36.3444054","-086.8608396"
"47","037","010202","47037010202","102.02",Census Tract 102.02,G5020,S,"68394934","77571","+36.3619781","-086.7746355"
"47","037","010104","47037010104","101.04",Census Tract 101.04,G5020,S,"65057849","251504","+36.2940028","-086.8777483"
"47","037","010106","47037010106","101.06",Census Tract 101.06,G5020,S,"21616474","6845","+36.2610013","-086.8023491"
"47","037","010602","47037010602","106.02",Census Tract 106.02,G5020,S,"3097282","0","+36.2533653","-086.6817552"
"47","037","014200","47037014200","142",Census Tract 142,G5020,S,"1080635","0","+36.1669323","-086.8036511"
"47","037","014300","47037014300","143",Census Tract 143,G5020,S,"1253575","0","+36.1611635","-086.8156898"
"47","037","014800","47037014800","148",Census Tract 148,G5020,S,"215341","0","+36.1516127","-086.7645179"
"47","037","016300","47037016300","163",Census Tract 163,G5020,S,"1099219","0","+36.1431906","-086.7899132"
