OBJECTID,GEOID,B25001e1,B25001m1,B25002e1,B25002m1,B25002e3,B25002m3,B25003e3,B25003m3,B25004e1,B25004m1,B25004e3,B25004m3,B25004e6,B25004m6,B25004e7,B25004m7
"1083",14000US47157003900,1157,30,1157,30,157,64,990,69,157,64,27,30,0,12,0,12
"1084",14000US47157004200,2632,99,2632,99,337,134,1673,192,337,134,85,81,88,77,0,12
"1085",14000US47157004300,1746,91,1746,91,185,90,854,129,185,90,8,15,27,36,0,12
"1086",14000US47157004500,419,43,419,43,64,23,287,49,64,23,0,12,0,12,0,12
"1087",14000US47157004600,814,42,814,42,129,58,597,69,129,58,0,12,0,12,0,12
"1088",14000US47157005000,452,47,452,47,96,40,312,44,96,40,0,12,0,12,0,12
"1089",14000US47157005300,1864,122,1864,122,546,128,733,141,546,128,0,12,0,12,0,12
"1090",14000US47157005500,1419,86,1419,86,557,98,524,147,557,98,0,12,0,12,0,12
"1091",14000US47157005600,1875,56,1875,56,325,99,688,139,325,99,0,12,0,12,0,12
"1092",14000US47157005700,1128,91,1128,91,282,80,448,120,282,80,0,12,0,12,0,12
"1093",14000US47157005800,529,67,529,67,199,59,235,62,199,59,0,12,12,18,0,12
"1094",14000US47157005900,1196,105,1196,105,346,120,414,138,346,120,24,38,0,12,0,12
"1095",14000US47157006000,954,74,954,74,210,86,400,86,210,86,0,12,0,12,0,12
"1096",14000US47157006200,962,63,962,63,325,80,302,72,325,80,28,30,0,12,0,12
"1097",14000US47157006300,1264,69,1264,69,81,63,536,118,81,63,0,12,9,15,0,12
"1098",14000US47157006400,827,57,827,57,74,56,321,86,74,56,0,12,0,12,0,12
"1099",14000US47157006500,1209,69,1209,69,259,110,676,130,259,110,51,48,0,12,0,12
"1100",14000US47157006600,1303,79,1303,79,133,77,840,104,133,77,0,12,10,16,25,40
"1101",14000US47157006700,1617,117,1617,117,469,140,787,183,469,140,0,12,0,12,0,12
"1102",14000US47157006800,1183,72,1183,72,303,84,433,108,303,84,0,12,0,12,12,20
"1103",14000US47157006900,1297,55,1297,55,317,78,368,123,317,78,0,12,0,12,0,12
"1104",14000US47157007000,1740,85,1740,85,499,131,895,149,499,131,37,42,0,12,0,12
"1105",14000US47157007100,1227,30,1227,30,185,95,248,94,185,95,26,41,0,12,0,12
"1106",14000US47157007200,1530,79,1530,79,71,63,559,103,71,63,15,24,31,40,0,12
"1107",14000US47157007300,1815,84,1815,84,335,129,1189,152,335,129,0,12,21,23,0,12
"1108",14000US47157007400,1609,70,1609,70,268,94,933,111,268,94,19,31,0,12,0,12
"1109",14000US47157007500,683,27,683,27,142,52,229,66,142,52,0,12,0,12,0,12
"1110",14000US47157007810,1510,73,1510,73,578,118,619,130,578,118,7,12,0,12,0,12
"1111",14000US47157007821,2820,53,2820,53,857,232,1138,266,857,232,0,12,0,12,0,12
"1112",14000US47157007822,726,50,726,50,113,64,310,78,113,64,0,12,0,12,0,12
"1113",14000US47157007900,2718,124,2718,124,612,176,1183,274,612,176,0,17,0,17,0,17
"1114",14000US47157008000,2431,56,2431,56,254,170,1306,243,254,170,0,12,0,12,0,12
"1115",14000US47157008110,1408,52,1408,52,519,87,596,99,519,87,9,14,0,12,0,12
"1116",14000US47157008120,2440,74,2440,74,438,162,1044,190,438,162,34,56,0,12,0,12
"1117",14000US47157008200,1962,90,1962,90,371,124,1087,183,371,124,0,12,26,33,21,34
"1118",14000US47157008500,1963,59,1963,59,151,72,392,99,151,72,0,12,0,12,0,12
"1119",14000US47157008600,2690,90,2690,90,312,149,572,146,312,149,0,17,77,84,0,17
"1120",14000US47157008700,2113,59,2113,59,176,88,796,147,176,88,0,12,21,35,0,12
"1121",14000US47157008800,2355,119,2355,119,364,163,1114,223,364,163,108,97,0,17,0,17
"1122",14000US47157008900,1726,93,1726,93,384,136,822,160,384,136,24,38,0,12,0,12
