"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"1000000US470370101052004","Block 2004, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","3","3","0"
"1000000US470370101052005","Block 2005, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","0","0","0"
"1000000US470370101052006","Block 2006, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","21","21","0"
"1000000US470370101052007","Block 2007, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","0","0","0"
"1000000US470370101052008","Block 2008, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","131","123","8"
"1000000US470370101052009","Block 2009, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","29","29","0"
"1000000US470370101052010","Block 2010, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","17","10","7"
"1000000US470370101052011","Block 2011, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","36","27","9"
"1000000US470370101052012","Block 2012, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","99","97","2"
"1000000US470370101052013","Block 2013, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","55","55","0"
"1000000US470370101052014","Block 2014, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","84","84","0"
"1000000US470370101052015","Block 2015, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","39","39","0"
"1000000US470370101052016","Block 2016, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","18","18","0"
"1000000US470370101052017","Block 2017, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","41","32","9"
"1000000US470370101052018","Block 2018, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","24","19","5"
"1000000US470370101052019","Block 2019, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","23","23","0"
"1000000US470370101052020","Block 2020, Block Group 2, Census Tract 101.05, Davidson County, Tennessee","37","37","0"
"1000000US470370101053000","Block 3000, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","229","217","12"
"1000000US470370101053001","Block 3001, Block Group 3, Census Tract 101.05, Davidson County, Tennessee","41","41","0"
